CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year,Founders,Investor,Founded
Plum,FinTech,Unknown,3000000.0,Bangalore,High quality health insurance and health benefits,2020,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",2019.0
STAGE,FinTech,Unknown,3000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,2019.0
Nykaa,FinTech,Unknown,3000000.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,Falguni Nayar,"Alia Bhatt, Katrina Kaif",2012.0
Kaagaz Scanner,FinTech,Unknown,3000000.0,Bangalore,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,2020.0
NIRA,FinTech,Unknown,3000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,"Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",2017.0
Prolixr,FinTech,Seed,3000000.0,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,2020,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",2018.0
Byju's,FinTech,Unknown,3000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",2011.0
DaMENSCH,FinTech,Unknown,3000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",2018.0
Country Delight,FinTech,Series C,3000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",2015.0
SignalX,FinTech,Seed,3000000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",2018.0
Lancify,FinTech,Unknown,3000000.0,Bangalore,Lancify is building the world's strongest young workforce,2020,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",2018.0
Krimanshi,FinTech,Seed,3000000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",2015.0
Instoried,FinTech,Pre-series A,3000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",2018.0
PlayerzPot,FinTech,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,"Yogesh, Mitesh Gangar",,2015.0
Instamojo,FinTech,Unknown,3000000.0,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,"Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",2012.0
Turtlemint,FinTech,Unknown,3000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",2015.0
Arata,FinTech,Pre-series A,3000000.0,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,2017.0
MPL,FinTech,Unknown,3000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",2018.0
True Balance,FinTech,Unknown,3000000.0,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",2014.0
Thrive,FinTech,Pre-series A,3000000.0,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,"Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital",2020.0
Kitchens Centre,FinTech,Pre-series A,3000000.0,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,Lakshay Jain,"Jonathan Swanson, Ankush Gera",2019.0
Prescribe,FinTech,Unknown,3000000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,Nived Narayanan,Titan Capital,2019.0
Nepra,FinTech,Series C,3000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",2006.0
inFeedo,FinTech,Unknown,3000000.0,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,Tanmaya Jain,"Peyush Bansal, Ritesh Malik",2013.0
Shilpa Sciences,FinTech,Pre-series A,3000000.0,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,Ashwin Lal,AngelList India,2014.0
Arzooo,FinTech,Unknown,3000000.0,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",2016.0
MindTickle,FinTech,Debt,3000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",2011.0
Krimanshi,FinTech,Seed,3000000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",2015.0
Slice,FinTech,Debt,3000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",2016.0
Rapawalk,FinTech,Seed,3000000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",2017.0
Oga Fit's,FinTech,Pre-series A,3000000.0,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,Ashish Rawat,9Unicorns,2017.0
LAVAL,FinTech,Pre-series A,3000000.0,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020,"Shrishti, Prithika",Jazal Group,2016.0
Stride Ventures,FinTech,Unknown,3000000.0,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,Ishpreet Gandhi,Small Industries Development Bank of India,2019.0
BlackSoil,FinTech,Unknown,3000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,Ankur Bansal,,2016.0
Biocon,FinTech,Unknown,3000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,Kiran Mazumdar-Shaw,Goldman Sachs,1978.0
Clientjoy,FinTech,Pre-series A,3000000.0,Gujarat,Client Management Software For Modern Agencies.,2020,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",2013.0
Xpressbees,FinTech,Unknown,3000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,"Amitava Saha, Supam Maheshwari","Alibaba Group, InnoVen Capital",2015.0
GalaxyCard,FinTech,Seed,3000000.0,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,"Amit Kumar, Gunjeet Singh",India Accelerator,2017.0
Wellness Forever,FinTech,Unknown,3000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,"Ashraf Biran, Gulshan Bakhtiani, Mohan Chavan","Poonawalla, Allana Group",2008.0
MoooFarm,FinTech,Pre-seed,3000000.0,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",2019.0
BitClass,FinTech,Seed,3000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2020.0
Gonuts,FinTech,Seed,3000000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",2020.0
Uolo,FinTech,Seed,3000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2013.0
Kirana King,FinTech,Pre-series A,3000000.0,"Jaipur, Rajastan","A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,Anup Kumar,Rajasthan Venture Capital Fund,2014.0
Jade Forest,FinTech,Seed,3000000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,"Punweet Singh, Shuchir Suri",,
iKure,FinTech,Unknown,3000000.0,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,Sujay Santra,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",2010.0
FrontRow,FinTech,Seed,3000000.0,Bangalore,"Comprehensive courses, taught by idols.",2020,"Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",
Reliance Retail,FinTech,Unknown,3000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,Mukesh Ambani,"Abu Dhabi Investment Authority, GIC",2006.0
TUBBR,FinTech,Unknown,3000000.0,"Frisco, Texas, United States",World's First Personal Social Network,2020,"Saurabh Uttam, Ravi Singhal",Global Ascent Partners,2019.0
Ather Energy,FinTech,Series D,3000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,2013.0
Routematic,FinTech,Unknown,3000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,"Sriram Kannan, Surajit Das","VAMM Ventures, Naresh Malhotra",2007.0
LivFin,FinTech,Unknown,3000000.0,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,Rakesh Malhotra,"DEG, KFW DEG",2017.0
Universal Sportsbiz Pvt Ltd,FinTech,Unknown,3000000.0,Bangalore,A fashion startup based in Bengaluru.,2020,Anjana Reddy,"Accel, Alteria Capital",2012.0
Lattu Kids,FinTech,Unknown,3000000.0,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,Vivek Bhutyani,Mumbai Angels Network,2017.0
Eggoz,FinTech,Pre-series A,3000000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,"Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",2016.0
Steradian Semiconductors,FinTech,Unknown,3000000.0,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,"Gireesh Rajendran, Ashish Lachhwani, Apu Sivadas, Rakesh Kumar and Alok Joshi",Endiya Partners.,2016.0
CHARGE+ZONE,FinTech,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,"Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,2018.0
Stones2milestones,FinTech,Bridge,3000000.0,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2020,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2008.0
Udacity,FinTech,Debt,3000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,"David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",2011.0
AjnaLens,FinTech,Bridge,3000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,"Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",2014.0
Gully Network,FinTech,Pre-series A,3000000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",2019.0
TurboHire,FinTech,Seed,3000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",2018.0
Traya,FinTech,Seed,3000000.0,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,"Altaf Saiyed, Saloni Anand","Kae Capital, Whiteboard Capital",
Charcoal Eats,FinTech,Unknown,3000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,"Anurag Mehrotra, Krishnakant Thakur, Mohammed Bhol, Gautam Singh",Lokmat Investments,2015.0
Mitron TV,FinTech,Unknown,3000000.0,Bangalore,Mitron is a free short videoplatform for next generation,2020,"Shivank Agarwal, Anish Khandelwal",9Unicorns,2020.0
Svami,FinTech,Unknown,3000000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,Sahil Jatana,"Niren Shah, Rukam Capital Trust",2016.0
Dhurnia,FinTech,Unknown,3000000.0,"Dhingsara, Haryana",Developer of an online learning platform intended for various competitive exam preparations.,2020,"Ajay Kumar, Murari Singh","Chandigarh Angels Network, Modulor Capital",2018.0
Expertrons,FinTech,Unknown,3000000.0,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,Jatin Solanki,"Rohit Chanana, Sukanta Ganguly",2019.0
Leena AI,FinTech,Unknown,3000000.0,"New York, United States",Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,"Adit Jain, Anand Prajapati, Mayank Goyal","Alan Patricof, Jim Moffatt",2015.0
Bizlog,FinTech,Unknown,3000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,"HS Srinivasan, Krishnan Rajan, E.V. Shunmugam",IAN Fund,2016.0
Tamasha.live,FinTech,Unknown,3000000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,"Saurabh Gupta, Siddharth Swarnkar","9Unicorns, Titan Capital, FirstCheque",2020.0
Fedo,FinTech,Unknown,3000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020,"Arun Mallavarapu, Prasanth Madavana",AIM Smart City,2017.0
FabHotels,FinTech,Unknown,3000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs",2015.0
Freshokartz,FinTech,Pre-series A,3000000.0,"Jaipur, Rajastan","Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,"Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",2016.0
FlexiLoans,FinTech,Debt,3000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,2016.0
Agrix,FinTech,Unknown,3000000.0,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,"Nilay Pandey, Saurav Singh, Vivek Kumar",Maple Capital Advisors,2020.0
BharatAgri,FinTech,Pre-series A,3000000.0,Pune,A Smart Farming Technology Platform for Indian Farmers,2020,"Siddharth Dialani, Sai Gole","021 Capital, India Quotient",2017.0
FreshtoHome,FinTech,Series C,3000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,Shan Kadavil,"Ascent Capital, Iron Pillar",2015.0
Credable,FinTech,Unknown,3000000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,Nirav Choksi,Oaks Asset Management,2017.0
Railofy,FinTech,Seed,3000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",2019.0
Finova Capital,FinTech,Unknown,3000000.0,"Jaipur, Rajastan",Finova Capital is a non-banking financial company.,2020,"Mohit Sahney, Sunita Sahney","Sequoia Capital India, Faering Capital",2016.0
Teachmint,FinTech,Seed,3000000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,2020.0
Peel-Works,FinTech,Unknown,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,"Sachin Chhabra, Nidhi Ramachandran","CESC Ventures, Brun Raschle",2010.0
Janani,FinTech,Pre-seed,3000000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,Nilay Mehrotra,9Unicorns,2020.0
Credgenics,FinTech,Seed,3000000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",2018.0
Finelistings,FinTech,Unknown,3000000.0,New Delhi,A Used Luxury Car Marketplace,2020,Aneesh Mathur,Justdial,2015.0
Wellversed,FinTech,Pre-series A,3000000.0,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020,"Aanan Khurma, Aditya Seth, Ripunjay Chachan","KLUB Works, Shankar Narayanan",2018.0
Nykaa,FinTech,Unknown,3000000.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,Falguni Nayar,"Alia Bhatt, Katrina Kaif",2012.0
Jumbotail,FinTech,Series B2,3000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,"Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),2015.0
Winzo,FinTech,Unknown,3000000.0,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",2018.0
mCaffeine,FinTech,Series B,3000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,"Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",2015.0
Pocket FM,FinTech,Series A,3000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,Rohan Nayak,"Times Group, Lightspeed",2018.0
Snackible,FinTech,Bridge,3000000.0,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020,,"Mumbai Angels, Murali Nair",2015.0
FreshtoHome,FinTech,Unknown,3000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,Shan Kadavil,"Ascent Capital, Iron Pillar",2015.0
Jumbotail,FinTech,Series B2,3000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",2015.0
Nykaa,FinTech,Unknown,3000000.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,Falguni Nayar,"Katrina Kaif, Steadview Capital",2012.0
TagZ Foods,FinTech,Unknown,3000000.0,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020,"Sagar Bhalotia, Anish Basu Roy","Exfinity Venture Partners, Shesh Kondi",2019.0
Genius Teacher,FinTech,Unknown,3000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,"Advitiya Sharma, Gaurav Lahoti","Sandeep Tandon, Daniel Lapus",2016.0
Krimanshi Feeds,FinTech,Unknown,3000000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",2015.0
Origo,FinTech,Debt,3000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020,"Sunoor Kaul,",Northern Arc Capital,2010.0
GetVantage,FinTech,Seed,3000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",2019.0
Betterplace,FinTech,Series B,3000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures,2015.0
Biddano,FinTech,Pre-series A,3000000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,Talha Shaikh,Windrose Capital,2016.0
InVideo,FinTech,Series A,3000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",2017.0
Arzooo,FinTech,Series A,3000000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,"Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",2016.0
Hubilo,FinTech,Seed,3000000.0,"San Francisco, California, United States",World’s smartest virtual event platform that brings Experience & Intelligence together,2020,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",2020.0
BASIC Home Loan,FinTech,Seed,3000000.0,Gurugram,"A platform for automating home loans for middle and low-income households in India,",2020,Atul Monga,Picus Capital,2020.0
Ketos,FinTech,Unknown,3000000.0,"San Francisco, United States",KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,Meena Sankaran,"Citi Ventures, Illuminated Funds Group",2015.0
SUGAR cosmetics,FinTech,Debt,3000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd",2012.0
Signzy,FinTech,Unknown,3000000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020,"Ankit Ratan, Ankur Pandey, Arpit Ratan","GenNext Ventures, Contrarian Drishti Partners",2015.0
Ahaguru,FinTech,Series A,3000000.0,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020,"Gomathi S, Dr Balaji Sampath",Anand Mahindra,2012.0
Tekion,FinTech,Series C,3000000.0,"San Ramon, California",It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",2016.0
Brighteye Ventures,FinTech,Unknown,3000000.0,"Paris, Ile-de-France, France",Education technology venture capital firm.,2020,David guerin,Tandem,2017.0
EzeRx,FinTech,Seed,3000000.0,Kolkata,Developer and manufacturer of medical devices,2020,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",2018.0
VitalTech,FinTech,Seed,3000000.0,"Plano, Texas, United States","VitalTech is a develop technologies that empower patients to better care for their safety,",2020,Anjan Panneer Selvam,Tech Mahindra,2018.0
Genius Teacher,FinTech,Unknown,3000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,"Advitiya Sharma, Gaurav Lahoti","Whiteboard Capital, VKG Ventures LLP.",2016.0
Ultraviolette Automotive,FinTech,Series B,3000000.0,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,2014.0
Tring,FinTech,Unknown,3000000.0,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020,"Akshay Saini, Rahul Saini, Pranav Chabhadia","Sujeet Kumar, Hemesh Singh",2019.0
Rare Planet,FinTech,Pre-series A,3000000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,2015.0
GoodGamer,FinTech,Seed,3000000.0,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020,Charles Creighton,,2020.0
InnAccel,FinTech,Pre-series A,3000000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020,Siraj Dhanani,Mount Judi Ventures,2012.0
Tiliter,FinTech,Unknown,3000000.0,Sydney,Software that uses computer vision to recognise products without barcodes,2020,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec",2017.0
Slintel,FinTech,Unknown,3000000.0,"San Francisco Bay Area, Silicon Valley, West Coast","Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020,"Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners",2016.0
SoOLEGAL,FinTech,Unknown,3000000.0,New Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020,Manish Kaul,,2015.0
HobSpace,FinTech,Seed,3000000.0,Mumbai,India's Activity Hub for Kids,2020,"Priya Goel Sheth, Harsh Jain",Artha Venture,2019.0
Supplynote,FinTech,Seed,3000000.0,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",2015.0
Hire Me Car,FinTech,Seed,3000000.0,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020,Pankaj Sharma,,
ShopUp,FinTech,Series A,3000000.0,Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020,"Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",2017.0
Harmonizer India,FinTech,Unknown,3000000.0,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2020,M R Srinivas,Kapil Dev,2019.0
Zomato,FinTech,Unknown,3000000.0,Gurugram,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",2008.0
Dukaan,FinTech,Seed,3000000.0,Mumbai,Developer of an android application designed for businesses to sell online.,2020,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",2020.0
CredR,FinTech,Unknown,3000000.0,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius",2014.0
Satyukt,FinTech,Seed,3000000.0,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",2018.0
RACEnergy,FinTech,Unknown,3000000.0,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2020,"Arun Sreyas, Gautham Maheswaran","growX Ventures, Huddle (Incubator)",2018.0
TREAD,FinTech,Pre-seed,3000000.0,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",2020.0
Anveshan,FinTech,Pre-seed,3000000.0,Bangalore,Provide quality and healthy food products,2020,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,2019.0
