CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year,Founders,Investor,Founded
Dainik Jagran,FinTech,Seed,584000.0,Kanpur,Dainik Jagran is a media and communications group.,2018,,,
Playtoome,FinTech,Seed,292000.0,Bengaluru,Playtoome is a live entertainment destination,2018,,,
ONGO Framework,FinTech,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,,,
Notesgen,FinTech,Seed,182500.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,,,
Arogya MedTech,FinTech,Seed,219000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,,,
Propshop24,FinTech,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,,,
myUpchar,FinTech,Series A,5000000.0,New Delhi,To bring health issues to people in their language.,2018,,,
MissMalini Entertainment,FinTech,Seed,1518400.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,,,
Rooter,FinTech,Seed,657000.0,India,Rooter is a mobile-based platform,2018,,,
ZestMoney,FinTech,Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,,,
alphaics Corporation,FinTech,Seed,3000000.0,Bengaluru,Advancing AI compute,2018,,,
MyDentistChoice,FinTech,Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,,,
Sattviko,FinTech,Angel,3000000.0,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,,,
Sensibull,FinTech,Seed,365000.0,Bangalore,Investment Management Platform,2018,,,
Bombay Shaving Company,FinTech,Series A,3000000.0,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,,,
MedCords,FinTech,Seed,385440.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,,,
University Living,FinTech,Seed,3000000.0,New Delhi,University Living is an online global student housing marketplace.,2018,,,
&ME,FinTech,Seed,3000000.0,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,,,
Enakshi,FinTech,Seed,116800.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018,,,
